0	21
1	19
2	18
3	23
4	37
5	30
6	23
7	28
8	32
9	24
10	32
11	32
12	39
13	32
14	31
15	37
16	32
17	31
18	36
19	30
20	35
21	39
22	39
23	39
24	30
25	45
26	50
27	46
28	49
29	53
30	41
31	45
32	57
33	48
34	39
35	65
36	61
37	53
38	53
39	51
40	48
41	53
42	54
43	71
44	64
45	69
46	59
47	81
48	73
49	93
50	68
51	80
52	98
53	88
54	102
55	99
56	106
57	113
58	95
59	107
60	107
61	117
62	106
63	107
64	115
65	125
66	127
67	136
68	120
69	110
70	99
71	106
72	103
73	96
74	92
75	107
76	93
77	86
78	72
79	108
80	92
81	94
82	83
83	101
84	110
85	105
86	110
87	94
88	87
89	106
90	74
91	92
92	98
93	98
94	102
95	94
96	114
97	91
98	117
99	107
100	100
101	97
102	106
103	91
104	94
105	96
106	98
107	128
108	120
109	105
110	104
111	129
112	126
113	120
114	115
115	122
116	127
117	131
118	142
119	128
120	117
121	139
122	128
123	122
124	123
125	129
126	137
127	110
